Particle Concentration,Relative Stiffness,Solvent ,Solvent Ca conc,Solvent Na conc,Vol of Particles After Settling (mL),Total Volume After Settling (Particles + Excess PBS) ,Applied Pressure (PSI),Filter Pore Size (um),Time (min),Cumulative Fluid Loss (mL),Cumulative Fluid Loss (%),Total Volume Remaining,Settled Vol Frac (Assumed),Solid Volume of Particles ,Est. Volume Fraction 
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0,70,0,0,0,37.5,0.6,19.5,0.52
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0,70,5,8.5,0.53125,29,0.6,19.5,0.672413793
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,10,11.5,0.71875,26,0.6,19.5,0.75
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,15,14,0.875,23.5,0.6,19.5,0.829787234
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,20,14.5,0.90625,23,0.6,19.5,0.847826087
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,25,15,0.9375,22.5,0.6,19.5,0.866666667
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,30,15.5,0.96875,22,0.6,19.5,0.886363636
0.5,VERY SOFT,1X PBS,0.9,153,32.5,37.5,0.5,70,35,16,1,21.5,0.6,19.5,0.906976744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,13.5,0.675337669,26.5,0.6,19.5,0.735849057
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,16,0.8004002,24,0.6,19.5,0.8125
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,18,0.900450225,22,0.6,19.5,0.886363636
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,19,0.950475238,21,0.6,19.5,0.928571429
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,19.33,0.966983492,20.67,0.6,19.5,0.943396226
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,19.66,0.983491746,20.34,0.6,19.5,0.958702065
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,19.99,1,20.01,0.6,19.5,0.974512744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,13,0.599078341,27,0.6,19.5,0.722222222
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,15.5,0.714285714,24.5,0.6,19.5,0.795918367
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,17,0.783410138,23,0.6,19.5,0.847826087
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,18.5,0.852534562,21.5,0.6,19.5,0.906976744
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,18.9,0.870967742,21.1,0.6,19.5,0.924170616
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,19.3,0.889400922,20.7,0.6,19.5,0.942028986
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,19.7,0.907834101,20.3,0.6,19.5,0.960591133
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,95,21.7,1,18.3,0.6,19.5,1.06557377
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,10.5,0.608766234,29.5,0.6,19.5,0.661016949
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,13.5,0.782699443,26.5,0.6,19.5,0.735849057
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,14.75,0.855171614,25.25,0.6,19.5,0.772277228
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,16,0.927643785,24,0.6,19.5,0.8125
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,16.416,0.951762523,23.584,0.6,19.5,0.82683175
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,16.832,0.975881262,23.168,0.6,19.5,0.841678177
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,17.248,1,22.752,0.6,19.5,0.857067511
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,0,0,0,40,0.6,19.5,0.4875
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0,70,5,10.5,0.608766234,29.5,0.6,19.5,0.661016949
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,10,13.25,0.768205009,26.75,0.6,19.5,0.728971963
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,15,14.75,0.855171614,25.25,0.6,19.5,0.772277228
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,20,16,0.927643785,24,0.6,19.5,0.8125
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,25,16.416,0.951762523,23.584,0.6,19.5,0.82683175
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,30,16.832,0.975881262,23.168,0.6,19.5,0.841678177
0.5,VERY SOFT,1X PBS,0.9,153,32.5,40,0.5,70,35,17.248,1,22.752,0.6,19.5,0.857067511
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,0,0,0,25,0.6,8.4,0.336
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,5,10,0.634920635,15,0.6,8.4,0.56
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,15,14.5,0.920634921,10.5,0.6,8.4,0.8
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,30,15.75,1,9.25,0.6,8.4,0.908108108
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,0,0,0,25,0.6,8.4,0.336
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,5,7.5,0.483870968,17.5,0.6,8.4,0.48
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,15,13.8,0.890322581,11.2,0.6,8.4,0.75
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,30,15.5,1,9.5,0.6,8.4,0.884210526
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,0,0,0,25,0.6,8.4,0.336
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0,40,5,8,0.531561462,17,0.6,8.4,0.494117647
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,15,13.6,0.903654485,11.4,0.6,8.4,0.736842105
0.5,VERY SOFT,1X PBS,0.9,153,14,25,0.5,40,30,15.05,1,9.95,0.6,8.4,0.844221106
0.5,VERY SOFT,1X PBS,0.9,153,39.5,50,0,70,0,0,0,50,0.6,23.7,0.474
0.5,VERY SOFT,1X PBS,0.9,153,39.5,50,0,70,5,15.5,0.775,34.5,0.6,23.7,0.686956522
0.5,VERY SOFT,1X PBS,0.9,153,39.5,50,0.5,70,15,17.5,0.875,32.5,0.6,23.7,0.729230769
0.5,VERY SOFT,1X PBS,0.9,153,39.5,50,0.5,70,25,19,0.95,31,0.6,23.7,0.764516129
0.5,VERY SOFT,1X PBS,0.9,153,39.5,50,0.5,70,35,20,1,30,0.6,23.7,0.79
0.5,VERY SOFT,1X PBS,0.9,153,39.5,40,0,70,0,0,0,40,0.6,23.7,0.5925
0.5,VERY SOFT,1X PBS,0.9,153,39.5,40,0,70,5,5,0.476190476,35,0.6,23.7,0.677142857
0.5,VERY SOFT,1X PBS,0.9,153,39.5,40,0.5,70,15,8,0.761904762,32,0.6,23.7,0.740625
0.5,VERY SOFT,1X PBS,0.9,153,39.5,40,0.5,70,25,9,0.857142857,31,0.6,23.7,0.764516129
0.5,VERY SOFT,1X PBS,0.9,153,39.5,40,0.5,70,35,10.5,1,29.5,0.6,23.7,0.803389831
0.5,VERY SOFT,1X PBS,0.9,153,39.5,37,0,70,0,0,0,37,0.6,23.7,0.640540541
0.5,VERY SOFT,1X PBS,0.9,153,39.5,37,0,70,5,4.5,0.5625,32.5,0.6,23.7,0.729230769
0.5,VERY SOFT,1X PBS,0.9,153,39.5,37,0.5,70,15,5.5,0.6875,31.5,0.6,23.7,0.752380952
0.5,VERY SOFT,1X PBS,0.9,153,39.5,37,0.5,70,25,6.5,0.8125,30.5,0.6,23.7,0.77704918
0.5,VERY SOFT,1X PBS,0.9,153,39.5,37,0.5,70,35,8,1,29,0.6,23.7,0.817241379
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0,70,0,0,0,34,0.6,23.7,0.697058824
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0,70,5,2.5,0.5,31.5,0.6,23.7,0.752380952
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,15,3.5,0.7,30.5,0.6,23.7,0.77704918
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,25,4.5,0.9,29.5,0.6,23.7,0.803389831
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,35,5,1,29,0.6,23.7,0.817241379
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0,70,0,0,0,31.5,0.6,23.7,0.752380952
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0,70,5,1,0.222222222,30.5,0.6,23.7,0.77704918
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,15,2,0.444444444,29.5,0.6,23.7,0.803389831
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,25,3,0.666666667,28.5,0.6,23.7,0.831578947
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,35,3.5,0.777777778,28,0.6,23.7,0.846428571
0.5,VERY SOFT,1X PBS,0.9,153,39.5,34,0.5,70,95,4.5,1,27,0.6,23.7,0.877777778
0.5,VERY SOFT,1X PBS,0.9,153,30,40,0,11,0,0,0,40,0.6,18,0.45
0.5,VERY SOFT,1X PBS,0.9,153,30,40,0.5,11,30,11.5,0.638888889,28.5,0.6,18,0.631578947
0.5,VERY SOFT,1X PBS,0.9,153,30,40,0.5,11,60,15.5,0.861111111,24.5,0.6,18,0.734693878
0.5,VERY SOFT,1X PBS,0.9,153,30,40,0.5,11,90,17.5,0.972222222,22.5,0.6,18,0.8
0.5,VERY SOFT,1X PBS,0.9,153,30,40,0.5,11,120,18,1,22,0.6,18,0.818181818
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,0,0,0,36.5,0.6,17.7,0.484931507
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,30,8.5,0.53125,28,0.6,17.7,0.632142857
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,60,12,0.75,24.5,0.6,17.7,0.72244898
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,90,14,0.875,22.5,0.6,17.7,0.786666667
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,120,15,0.9375,21.5,0.6,17.7,0.823255814
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,150,16,1,20.5,0.6,17.7,0.863414634
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,0,0,0,36.5,0.6,17.7,0.484931507
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,30,9,0.580645161,27.5,0.6,17.7,0.643636364
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,60,12.5,0.806451613,24,0.6,17.7,0.7375
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,90,14.5,0.935483871,22,0.6,17.7,0.804545455
0.5,VERY SOFT,1X PBS,0.9,153,29.5,36.5,0.5,11,120,15.5,1,21,0.6,17.7,0.842857143
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,0.5,11,0,0,0,37.5,0.6,18.3,0.488
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,0.5,11,30,9,0.72,28.5,0.6,18.3,0.642105263
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,0.5,11,60,12.5,1,25,0.6,18.3,0.732
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1,11,0,0,0,37.5,0.6,18.3,0.488
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1,11,30,10.5,0.75,27,0.6,18.3,0.677777778
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1,11,60,14,1,23.5,0.6,18.3,0.778723404
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1.5,11,0,0,0,37.5,0.6,18.3,0.488
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1.5,11,30,11,0.75862069,26.5,0.6,18.3,0.690566038
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,1.5,11,60,14.5,1,23,0.6,18.3,0.795652174
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,2,11,0,0,0,37.5,0.6,18.3,0.488
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,2,11,30,13,0.8125,24.5,0.6,18.3,0.746938776
0.5,VERY SOFT,1X PBS,0.9,153,30.5,37.5,2,11,60,16,1,21.5,0.6,18.3,0.851162791
0.5,VERY SOFT,1X PBS,0.9,153,29,40,0.5,11,0,0,0,40,0.6,18.3,0.4575
0.5,VERY SOFT,1X PBS,0.9,153,29,40,0.5,11,30,10.39207921,0.492307692,29.60792079,0.6,17.4,0.587680578
